id,  First Name  , Last Name,email,age,salary,hire_date,is_active,department,score,notes,country,phone
2974,Uma,Moore,uma.moore@example.com,50,142412.69,2022-10-08,FALSE,Sales,1.7,  ,Spain,N/A
133,Zoe,Martin,zoe.martin@example.com,28,N/A,2017-11-25,no,HR,5.0,Remote worker,  ,
2808,  Paolo  ,Brown,paolo.brown@example.com,46,112233.35,2019-07-05,0,Finance,8.7,  ,UK,  
1581,Wendy,Jones,wendy.jones@example.com,34,46758.49,2016-06-08,no,Finance,5.3,  Needs improvement  ,Germany,+39 354-6532106
2188,Zoe,White,zoe.white@example.com,51,99054.59,2024-02-17,false,Legal,2.4,Good performer,Spain,
90030,Short,Row
2027,Eve,Jackson,eve.jackson@example.com,29,125635.47,2022-03-14,1,IT,7.2,Remote worker,,N/A
90104,Extra,Row,x@x.com,30,50000,2020-01-01,yes,IT,8.0,note,IT,+39-000,EXTRA_FIELD,ANOTHER
648,Zoe, Hall ,zoe.hall@example.com,26,53571.1,2016-04-21,No,Marketing,5.3,  Needs improvement  ,France,N/A
1850,Eve,Clark,eve.clark@example.com,60,49432.23,2020-05-07,TRUE,Operations,6.3,Senior engineer,UK,  
1345,Dave,Harris,dave.harris@example.com,,81256.9,2022-09-27,false,IT,5.3,Senior engineer,France,  
391,Tina,Walker,tina.walker@example.com,28,128833.23,2015-06-21,0,Marketing,2.5,  Needs improvement  ,France,N/A
2099,Uma, Harris ,uma.harris@example.com,,40719.9,2022-04-07,TRUE,Engineering,7.3,  Top talent  ,Spain,+39 305-1706189
2763,  Luca  ,Smith,luca.smith@example.com,32,51541.28,2016-02-25,yes,HR,6.2,On probation,USA,  
83,Luca,Hall,luca.hall@example.com,33,abc,2022-09-05,No,IT,6.7,Senior engineer,USA,+39 391-8678589
2,  Heidi  ,Garcia,heidi.garcia@example.com,59,63382.88,2024-09-30,true,Sales,7.3,On probation,Germany,N/A
55,Pam,Scott,  pam@example.com ,40,119587.12,2018-10-19,false,IT,9.7,Senior engineer,France,N/A
2366,Mike,Davis,mike.davis@example.com,23,137232.76,2022-08-22,FALSE,Operations,7.4,Remote worker,UK,  
1081,Ivan,Jackson,ivan.jackson@example.com,37,130822.64,2022-03-19,false,Engineering,6.6,,Germany,
220,Xavier, Thomas ,xavier.thomas@example.com,52,85541.81,2019-01-09,TRUE,IT,,Senior engineer,USA,
1751,Judy,Clark,judy.clark@example.com,41,98302.88,2023-04-08,Yes,IT,9.1,  Needs improvement  ,,
1192,Alice, Jackson ,alice.jackson@example.com,44,95353.08,2015-11-20,false,Operations,9.1,  Top talent  ,Germany,N/A
221,Sam, Lewis ,sam.lewis@example.com,47,122304.03,2017-05-21,true,Finance,5.9,n/a,  ,N/A
251,Pam,Wilson,pam.wilson@example.com,43,80429.16,2023-10-24,No,Operations,5.2,Good performer,Spain,+39 310-3450947
2896,  Sam  , Taylor ,sam.taylor@example.com,28,61975.05,2020-01-03,No,Marketing,7.8,Remote worker,UK,+39 368-3905729
2566,Marco,Wilson,,37,142414.38,2022-02-08,0,Sales,3.9,  Needs improvement  ,  ,
2598,Oscar,Walker,oscar.walker@example.com,59,79626.98,2018-02-21,FALSE,Marketing,1.9,,Italy,N/A
1189,Bob,Davis,,43,129999.12,2023-05-07,1,Marketing,6.3,n/a,  ,  
1343,  Marco  ,Wright,marco.wright@example.com,58,66371.98,2020-02-23,TRUE,IT,8.6,On probation,France,+39 309-2481041
2082,Tina,White,tina.white@example.com,39,72648.34,2021-08-03,No,IT,3.1,Remote worker,,N/A
2495,  Quinn  ,Jones,quinn.jones@example.com,23,124217.71,2017-02-13,TRUE,Marketing,3.0,  Top talent  ,France,N/A
1178,Paolo,Wright,paolo.wright@example.com,40,59073.97,2018-07-27,yes,Finance,1.4,On probation,France,N/A
2695,Pam,King,pam.king@example.com,65,43602.42,2024-11-24,No,HR,7.2,Senior engineer,Italy,+39 327-2337723
1323,Quinn,King,quinn.king@example.com,54,99249.25,2023-06-30,true,Finance,3.3,  Needs improvement  ,Italy,N/A
2447,  Ivan  , King ,not-an-email,36,46827.88,2019-07-30,false,Finance,9.9,  ,Italy,  
2683,  Dave  , Hall ,dave.hall@example.com,38,37693.37,2022-07-17,TRUE,Engineering,7.1,  ,France,N/A
285,Pam, Scott ,pam.scott@example.com,33,136039.64,2017-08-11,TRUE,HR,1.0,Good performer,  ,
1771,Oscar,Anderson,oscar.anderson@example.com,43,126429.15,2017-04-03,No,Marketing,3.5,  Top talent  ,France,N/A
28,Sam,Young,sam.young@example.com,23,132807.84,2023-08-02,1,Legal,5.3,On probation,Germany,  
1205,  Judy  ,Anderson,not-an-email,43,77776.43,2019-07-22,yes,Sales,6.4,On probation,UK,  
525,Wendy,Scott,  wendy@example.com ,30,90510.85,2022-01-30,1,Legal,,  ,UK,+39 341-4418568
2954,Bob,Garcia,bob.garcia@example.com,32,47855.52,2021-04-14,0,Finance,8.0,,France,  
1826,Xavier,Moore,xavier.moore@example.com,39,43616.31,2021-03-25,true,IT,9.7,,,+39 399-6229431
2833,Carol,Robinson,carol.robinson@example.com,56,82661.13,2023-09-14,yes,IT,5.4,,,  
151,  Nina  ,Young,nina.young@example.com,47,39891.34,2021-01-06,0,Sales,3.5,  ,USA,
2480,Uma, King ,uma.king@example.com,38,71647.49,2023-06-14,false,HR,2.8,  Top talent  ,USA,N/A
34,  Heidi  ,Wright,heidi.wright@example.com,51,98381.96,2022-06-29,Yes,Operations,1.3,On probation,UK,N/A
2712,Xavier, Hall ,xavier.hall@example.com,63,83223.39,2016-02-06,TRUE,Sales,6.9,Remote worker,,N/A
2706,Mike,Harris,mike.harris@example.com,32,87770.81,2018-02-05,FALSE,IT,1.5,Remote worker,Spain,  
2422,  Paolo  ,Thomas,paolo.thomas@example.com,61,74082.27,2023-07-21,No,Legal,6.2,On probation,USA,  
914,Sara,Clark,sara.clark@example.com,63,59773.38,2020-06-19,TRUE,HR,4.0,Remote worker,Spain,  
2788,Alice,Scott,alice.scott@example.com,27,112910.32,2017-04-24,no,Sales,5.4,n/a,UK,+39 312-8586767
865,Rita,Anderson,rita.anderson@example.com,56,134169.32,2016-10-10,yes,Engineering,8.7,Good performer,France,N/A
1714,Sara, King ,,55,56201.2,2019-06-12,0,IT,3.8,  Top talent  ,  ,  
2408,Ivan,Clark,ivan.clark@example.com,27,127151.3,2021-04-22,1,Marketing,5.3,Senior engineer,Germany,N/A
2228,Quinn,Garcia,quinn.garcia@example.com,57,98821.81,2024-03-12,TRUE,HR,2.7,Remote worker,Spain,  
556,  Xavier  ,Smith,xavier.smith@example.com,53,104839.67,2017-04-02,false,Marketing,1.0,,USA,
327,Xavier,Martin,xavier.martin@example.com,35,45925.44,2018-04-26,no,Marketing,1.1,  ,UK,+39 390-8705487
1901,Eve,Thomas,eve.thomas@example.com,50,118129.03,2016-10-12,No,HR,6.7,  ,,  
1906,  Eve  ,Wilson,eve.wilson@example.com,26,abc,2017-09-19,Yes,HR,7.1,  ,Italy,+39 375-3976834
107,Carol,Harris,carol.harris@example.com,64,41446.21,2016-07-29,No,Operations,,Good performer,Germany,  
1872,Luca,Allen,,50,120220.26,TBD,FALSE,IT,7.5,Remote worker,,  
207,Nina,Scott,nina.scott@example.com,22,92727.6,2015-04-14,Yes,Sales,1.5,Good performer,France,N/A
540,Karl,Wright,karl.wright@example.com,41,115021.48,2022-05-08,yes,Marketing,9.2,,Spain,
376,Quinn,Taylor,quinn.taylor@example.com,,136907.34,2021-07-26,no,Engineering,5.7,,UK,
17,  Quinn  , Martinez ,quinn.martinez@example.com,38,138640.38,2024-06-27,true,Marketing,6.7,  ,Italy,
2055,Eve,Taylor,eve.taylor@example.com,30,73210.01,2023-07-28,No,IT,5.1,Senior engineer,  ,N/A
1676,  Bob  ,Davis,bob.davis@example.com,27,31884.02,2016-08-22,No,HR,4.4,Remote worker,France,N/A
2340,Zoe,Allen,zoe.allen@example.com,26,109198.96,2017-03-04,false,IT,4.4,Good performer,UK,N/A
2326,Yara,Clark,,28,96991.89,2019-01-30,FALSE,HR,6.9,Senior engineer,Spain,
1018,Ivan,Martin,ivan.martin@example.com,47,70600.85,2020-01-11,FALSE,Sales,2.8,Senior engineer,UK,+39 379-4922062
131,  Frank  ,Allen,frank.allen@example.com,57,33229.93,2023-02-26,No,HR,4.9,  ,USA,
90051,Short,Row
447,Grace,Moore,grace.moore@example.com,54,39379.74,2023-02-17,No,Finance,2.5,,France,
1664,Eve, King ,eve.king@example.com,46,109596.26,n/a,FALSE,Sales,9.6,On probation,  ,+39 328-5052068
2484,Mike,White,,38,134448.62,2019-05-21,true,Marketing,5.4,  ,USA,N/A
161,  Xavier  ,Clark,xavier.clark@example.com,37,41367.03,2016-02-22,yes,Marketing,1.1,,UK,N/A
1543,  Heidi  ,Taylor,heidi.taylor@example.com,58,54090.98,2016-05-24,No,Legal,5.0,Good performer,,N/A
142,Frank,Thomas,frank.thomas@example.com,40,64719.99,2017-12-31,0,Marketing,2.2,Remote worker,Italy,
90089,Short,Row
511,Sara,Hall,sara.hall@example.com,27,144338.2,2017-08-06,no,Sales,7.9,Senior engineer,Spain,N/A
1798,  Dave  ,Moore,dave.moore@example.com,43,115085.85,2023-11-23,Yes,Sales,2.3,,Germany,+39 300-9224047
2773,Karl,Robinson,karl.robinson@example.com,41,54457.21,2016-10-21,no,Marketing,3.4,  ,Spain,
349,Oscar,Brown,oscar.brown@example.com,55,46309.48,2023-07-20,FALSE,Finance,6.0,Good performer,USA,+39 341-9283126
1160,Carol,Harris,carol.harris@example.com,39,58134.7,2023-10-01,1,Engineering,8.5,Good performer,France,+39 361-9952834
333,Uma,Scott,uma.scott@example.com,42,88337.81,2022-06-20,0,IT,5.1,,UK,N/A
2010,Bob,Wright,bob.wright@example.com,65,130774.49,2020-05-27,Yes,Operations,3.3,,Germany,+39 319-6978769
743,Paolo,Scott,paolo.scott@example.com,35,44439.0,2022-02-20,true,IT,2.6,  Needs improvement  ,USA,  
622,Pam,Clark,pam.clark@example.com,65,77285.68,2017-05-20,No,Legal,8.5,,USA,N/A
33,  Nina  ,Jackson,nina.jackson@example.com,62,136989.0,2020-02-27,yes,Legal,2.6,n/a,Germany,  
1857,Zoe, King ,zoe.king@example.com,39,44611.68,2017-06-24,true,Engineering,5.0,n/a,,  
2956,Alice,Garcia,alice.garcia@example.com,62,49423.96,2017-12-03,yes,Engineering,1.4,On probation,Italy,+39 323-5929186
90136,Extra,Row,x@x.com,30,50000,2020-01-01,yes,IT,8.0,note,IT,+39-000,EXTRA_FIELD,ANOTHER
2159,Dave,Lewis,dave.lewis@example.com,,70435.13,2017-06-21,true,HR,5.4,  Needs improvement  ,France,
1959,Karl,Jackson,karl.jackson@example.com,48,111281.16,2015-11-28,Yes,Legal,6.0,,Germany,  
1840,Marco,Walker,marco.walker@example.com,59,128043.31,2022-05-14,TRUE,Engineering,2.6,,UK,N/A
301,Marco,Garcia,marco.garcia@example.com,60,141637.32,2021-12-27,yes,IT,5.6,n/a,  ,
365,Sara,Scott,sara.scott@example.com,31,73559.76,2023-01-10,FALSE,Finance,1.2,,Italy,
1983,Tina,Walker,tina.walker@example.com,59,34362.17,2022-08-30,no,Sales,3.2,n/a,  ,  
745,Victor,Taylor,victor.taylor@example.com,34,58178.22,2020-01-09,true,Engineering,8.9,Remote worker,  ,N/A
2211,  Uma  ,Anderson,uma.anderson@example.com,29,120560.3,2015-07-28,true,Legal,,n/a,Germany,
 , , , , , , , , , , , , 
1551,Luca,Moore,luca.moore@example.com,31,57039.38,2021-06-23,false,HR,6.9,On probation,UK,  
928,Ivan,Clark,ivan.clark@example.com,55,106730.14,2015-09-03,true,Engineering,2.0,,,
1469,Bob,Brown,bob.brown@example.com,29,52150.09,2016-11-23,0,HR,9.2,Good performer,France,  
262,Sara, Anderson ,sara.anderson@example.com,22,66040.08,2017-06-27,no,Operations,1.2,  ,UK,  
98,  Pam  ,Robinson,pam.robinson@example.com,51,47872.88,2020-10-12,yes,Operations,9.4,On probation,UK,N/A
1295,Heidi,Garcia,heidi.garcia@example.com,57,"50,000",2016-04-17,yes,Marketing,3.0,,  ,  
129,Judy,Martinez,judy.martinez@example.com,26,73334.99,2017-10-07,No,HR,5.1,Senior engineer,Germany,N/A
241,  Frank  ,Lewis,frank.lewis@example.com,,147512.69,2022-09-10,no,Marketing,7.5,,,
381,  Luca  ,Moore,  luca@example.com ,55,81327.82,2021-05-17,true,Marketing,9.3,n/a,USA,  
360,Victor,King,victor.king@example.com,51,62152.31,2022-02-25,0,Legal,9.4,Good performer,France,
2368,Marco,Lewis,marco.lewis@example.com,43,87875.63,2023-02-21,0,HR,6.4,n/a,France,  
641,Yara,Lewis,yara.lewis@example.com,29,116639.31,2019-02-10,Yes,Operations,2.3,,  ,+39 326-5437702
2734,Heidi,Lewis,heidi.lewis@example.com,28,141209.58,2018-06-17,No,Finance,3.0,Senior engineer,Italy,N/A
1743,Sam, Brown ,sam.brown@example.com,44,63021.42,2023-11-30,true,Sales,7.1,,UK,
1991,Marco,Clark,marco.clark@example.com,22,146466.61,2021-02-08,no,HR,9.9,,France,N/A
1116,Zoe, Anderson ,zoe.anderson@example.com,57,31790.92,2023-02-08,0,Operations,8.1,  Top talent  ,Italy,N/A
1747,Sam,Jones,sam.jones@example.com,37,36436.51,2020-10-03,false,Legal,7.6,,Spain,  
996,Bob,Brown,bob.brown@example.com,22,88967.06,2016-09-30,Yes,Marketing,4.2,n/a,France,+39 371-4068301
916,Luca,Hall,luca.hall@example.com,48,63026.07,2021-02-17,yes,Engineering,5.5,,France,  
161,  Xavier  ,Clark,xavier.clark@example.com,37,41367.03,2016-02-22,yes,Marketing,1.1,,UK,N/A
1946,  Luca  ,Wilson,,64,56221.45,2020-09-10,true,Finance,1.9,,USA,  
65,  Heidi  ,Scott,heidi.scott@example.com,49,131418.62,2023-08-10,1,Engineering,6.5,  ,Italy,N/A
1510,Laura,Wilson,laura.wilson@example.com,51,48873.9,2017-09-17,no,Operations,1.4,  Needs improvement  ,,
920,Sara,King,sara.king@example.com,26,122687.98,2016-06-03,TRUE,Engineering,5.9,Good performer,,+39 359-3440417
2903,  Bob  ,Lewis,bob.lewis@example.com,30,72770.12,2022-01-08,false,Engineering,6.8,,Germany,
1642,Quinn,Miller,quinn.miller@example.com,37,81403.87,TBD,0,HR,5.9,  Top talent  ,France,
436,Sara,Garcia,sara.garcia@example.com,44,114037.98,2022-12-24,TRUE,Legal,6.5,Senior engineer,,  
94,Marco,Young,marco.young@example.com,42,118103.97,2024-08-26,FALSE,Legal,2.2,On probation,USA,  
373,Quinn,Martinez,,43,135347.61,2016-06-24,false,Operations,7.4,Remote worker,UK,N/A
1083,Bob, Jones ,bob.jones@example.com,34,66657.45,2020-11-23,Yes,Marketing,7.2,,Italy,
2075,Laura, White ,laura.white@example.com,59,72383.22,2019-08-22,false,IT,4.9,On probation,Spain,
1893,Heidi,Anderson,heidi.anderson@example.com,39,126411.04,2022-02-25,no,HR,2.7,  ,,N/A
1527,Bob,Taylor,bob.taylor@example.com,28,140763.33,2024-07-17,yes,Engineering,4.0,Remote worker,,+39 355-1728878
1539,Dave,Lewis,dave.lewis@example.com,49,129857.69,2015-05-30,TRUE,Engineering,2.5,  Needs improvement  ,Germany,+39 336-5927882
2493,Quinn,King,quinn.king@example.com,58,107165.9,2019-11-03,No,Legal,2.6,  Needs improvement  ,UK,  
1036,Quinn,Lewis,quinn.lewis@example.com,29,40805.71,2024-09-03,1,IT,,Remote worker,Germany,+39 373-9839008
2095,Quinn,Wilson,quinn.wilson@example.com,24,78959.65,2017-12-04,0,HR,9.8,Remote worker,USA,
1895,Uma,Wright,  uma@example.com ,36,114640.69,2020-01-08,FALSE,Sales,2.6,Remote worker,Germany,
2175,Tina,Wilson,tina.wilson@example.com,,49641.82,2024-05-27,TRUE,Sales,4.1,,France,  
2524,Quinn,Allen,quinn.allen@example.com,65,$50000,2024-07-07,FALSE,Operations,7.0,,UK,  
2132,Victor,Anderson,victor.anderson@example.com,59,35261.38,2020-04-12,false,IT,4.0,Senior engineer,UK,  
2015,Sam,Moore,sam.moore@example.com,45,44036.0,2015-03-16,yes,Legal,6.5,On probation,  ,
933,Laura,Young,laura.young@example.com,22,108606.58,2015-09-06,false,Legal,9.7,Good performer,Germany,+39 342-4260851
427,Heidi,Wilson,heidi.wilson@example.com,50,133580.19,2019-06-10,no,Finance,4.8,Remote worker,UK,+39 347-5270292
923,  Xavier  ,Jones,xavier.jones@example.com,36,129902.88,2021-01-11,0,Legal,2.9,On probation,France,+39 352-3109953
1947,  Judy  , Anderson ,judy.anderson@example.com,27,93496.92,2018-05-19,no,Legal,6.9,Remote worker,Italy,+39 385-4032219
1274,Zoe,Wilson,zoe.wilson@example.com,,45695.85,2015-08-30,No,Sales,8.0,Good performer,USA,  
2474,Nina,White,nina.white@example.com,62,66447.42,2017-11-10,no,HR,7.0,  Top talent  ,France,+39 348-1620682
1928,Yara,Anderson,yara.anderson@example.com,46,58516.44,2016-03-25,FALSE,Marketing,2.5,  Needs improvement  ,USA,  
988,Heidi,Allen,heidi.allen@example.com,51,57120.66,2022-08-20,true,Engineering,5.8,  Needs improvement  ,  ,
46,  Eve  ,Harris,eve.harris@example.com,34,140624.18,2020-09-12,yes,Marketing,3.5,Remote worker,Spain,+39 364-5482413
198,Luca,King,luca.king@example.com,30,87969.56,2020-06-22,false,Legal,5.0,  Needs improvement  ,Germany,+39 383-6272037
63,  Karl  ,Allen,karl.allen@example.com,38,74916.12,2016-09-17,No,Marketing,1.8,  Needs improvement  ,USA,N/A
2375,Wendy,Taylor,wendy.taylor@example.com,35,143928.12,2021-03-02,Yes,Engineering,8.2,Senior engineer,France,  
1261,Heidi, White ,heidi.white@example.com,41,54735.65,2015-12-12,FALSE,Marketing,9.4,  ,France,  
2822,Heidi,Taylor,heidi.taylor@example.com,61,127866.74,2023-11-09,0,Finance,2.9,Senior engineer,USA,N/A
2191,Alice,Anderson,alice.anderson@example.com,23,61664.7,2022-11-25,true,IT,8.3,,USA,
1351,  Karl  ,Hall,karl.hall@example.com,22,37656.94,2020-09-08,Yes,Engineering,5.4,Senior engineer,Italy,
2245,Paolo,Walker,paolo.walker@example.com,52,48040.78,2024-09-24,0,HR,7.0,  ,USA,  
1352,Mike,Miller,mike.miller@example.com,24,31636.81,2020-08-03,no,Engineering,9.5,  ,UK,
3,Dave, Harris ,dave.harris@example.com,27,96244.88,2024-04-20,1,Operations,6.2,  Needs improvement  ,Italy,N/A
2716,  Paolo  , Walker ,paolo.walker@example.com,47,33657.67,2017-03-17,no,Finance,2.6,,Spain,  
701,Victor,Lewis,victor.lewis@example.com,62,67168.71,2024-11-08,TRUE,Legal,7.2,Remote worker,,
1410,Eve,Young,not-an-email,53,85159.97,2020-11-17,Yes,IT,1.4,,,
2839,Uma,Wilson,uma.wilson@example.com,31,97248.16,2017-07-26,1,Marketing,2.7,  Needs improvement  ,France,N/A
2017,Alice, Wilson ,alice.wilson@example.com,61,121544.75,2019-01-05,no,Operations,2.2,Remote worker,Italy,
890,Zoe, Wright ,zoe.wright@example.com,24,54239.42,2018-02-13,TRUE,HR,9.3,  Needs improvement  ,Spain,+39 314-8721122
90138,Short,Row
875,Nina,Garcia,nina.garcia@example.com,42,35495.06,2021-12-17,TRUE,Sales,7.3,  Needs improvement  ,Germany,+39 398-2461916
2186,Luca,Moore,luca.moore@example.com,58,127632.16,2023-05-28,true,Operations,6.4,Remote worker,,N/A
2575,Eve,Davis,eve.davis@example.com,43,115515.07,2022-10-28,TRUE,HR,5.4,Remote worker,France,
1342,Paolo,Taylor,paolo.taylor@example.com,36,106002.87,2019-09-05,Yes,Marketing,3.2,Remote worker,,+39 321-9955503
1109,Karl,Allen,karl.allen@example.com,,124674.6,2020-08-11,0,Sales,7.5,n/a,Germany,+39 375-8042663
1331,  Paolo  ,King,paolo.king@example.com,29,44504.47,2023-07-10,0,Finance,2.3,Senior engineer,  ,  
2068,Rita,Garcia,rita.garcia@example.com,46,88754.43,2018-08-04,true,IT,9.7,  Needs improvement  ,Italy,
1620,Zoe,Young,zoe.young@example.com,65,56751.81,2021-06-28,No,IT,6.8,  ,USA,  
949,Wendy,Lewis,wendy.lewis@example.com,23,142571.63,2015-07-23,false,Legal,3.0,On probation,,  
340,Luca,Harris,luca.harris@example.com,40,96464.03,2015-06-22,TRUE,Finance,5.4,  Top talent  ,France,
1905,Tina, Scott ,tina.scott@example.com,,105796.53,2021-11-03,0,Engineering,1.8,Senior engineer,UK,  
2178,Zoe,Thomas,zoe.thomas@example.com,30,74424.26,2022-01-24,no,IT,3.3,  ,Germany,N/A
1215,Mike, Scott ,mike.scott@example.com,40,148161.76,2017-05-24,yes,Sales,8.0,Remote worker,UK,  
2978,  Paolo  ,Anderson,paolo.anderson@example.com,65,36722.23,2019-11-25,1,Finance,7.1,  Top talent  ,,
1220,  Marco  ,Anderson,marco.anderson@example.com,60,114264.03,2022-06-03,no,Sales,8.4,Remote worker,Germany,
2261,Eve, Smith ,eve.smith@example.com,52,72615.39,2016-03-07,TRUE,Finance,8.5,On probation,,  
213,Laura,Robinson,laura.robinson@example.com,54,83466.83,2015-06-29,TRUE,HR,3.9,  Needs improvement  ,USA,+39 321-9945709
300,  Frank  ,Martinez,frank.martinez@example.com,30,52587.22,2019-04-25,FALSE,Legal,2.4,Senior engineer,UK,+39 301-2203698
1326,Nina,Brown,nina.brown@example.com,27,98250.03,2022/12/31,Yes,IT,4.2,n/a,France,
2981,  Zoe  ,Walker,zoe.walker@example.com,54,97638.48,2015-06-23,No,Marketing,7.3,  Top talent  ,  ,+39 366-9644379
1021,Carol,Scott,not-an-email,59,127139.93,2023-12-10,true,Marketing,5.1,Senior engineer,UK,N/A
1944,  Nina  ,Lewis,nina.lewis@example.com,42,86374.27,2018-08-04,no,Operations,1.6,,  ,N/A
1664,Eve, King ,eve.king@example.com,46,109596.26,n/a,FALSE,Sales,9.6,On probation,  ,+39 328-5052068
2759,Victor,Walker,victor.walker@example.com,64,69975.55,2019-11-20,no,HR,4.9,Remote worker,,+39 344-8617932
105,Luca, Miller ,luca.miller@example.com,24,149660.62,2019-06-15,No,Sales,9.4,  ,Italy,+39 301-6006190
815,Rita,Robinson,rita.robinson@example.com,63,,2016-03-25,TRUE,Operations,5.7,  Needs improvement  ,Germany,N/A
77,Heidi, Clark ,heidi.clark@example.com,37,67136.15,2024-01-26,No,HR,4.3,,  ,  
1206,Eve, Anderson ,eve.anderson@example.com,56,80766.86,2020-01-08,true,Finance,,Senior engineer,,
2644,  Laura  ,Brown,laura.brown@example.com,,131533.87,2021-10-03,no,Sales,,Remote worker,  ,  
608,Marco,Smith,marco.smith@example.com,42,39334.49,2015-08-02,yes,IT,4.8,  Top talent  ,Spain,+39 338-9394901
90007,Extra,Row,x@x.com,30,50000,2020-01-01,yes,IT,8.0,note,IT,+39-000,EXTRA_FIELD,ANOTHER
193,Grace,Young,grace.young@example.com,65,105637.36,2018-05-18,Yes,Marketing,7.0,  ,UK,+39 353-2760168
2783,Judy,Martin,judy.martin@example.com,34,69444.04,2023-05-18,TRUE,Operations,2.5,n/a,UK,N/A
2389,Rita,King,rita.king@example.com,54,40450.73,2023-01-26,Yes,Legal,1.5,,Italy,+39 373-9978269
360,Victor,King,victor.king@example.com,51,62152.31,2022-02-25,0,Legal,9.4,Good performer,France,
980,  Nina  ,Harris,nina.harris@example.com,34,112182.94,2021-10-12,no,HR,6.1,On probation,Italy,
522,Paolo,Clark,paolo.clark@example.com,28,106023.02,2020-08-23,1,Engineering,7.0,Remote worker,France,  
644,Quinn, Harris ,quinn.harris@example.com,52,104215.2,2016-11-28,FALSE,Sales,6.3,n/a,Spain,  
497,  Nina  , Moore ,nina.moore@example.com,51,"50,000",2019-07-07,false,Sales,7.5,Good performer,USA,+39 348-7442292
1870,Luca,Miller,luca.miller@example.com,29,67685.19,2023-10-23,true,Engineering,5.1,  Needs improvement  ,France,N/A
924,Uma,Lewis,uma.lewis@example.com,41,126839.23,2018-05-08,0,Finance,2.6,  ,,  
